"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR3160-001 Licensed Information Technology (IT) Software (05/16/19),OCIO-CEC,OCIO-CEC,05/16/19,05/16/24,
DR3170-001 End User Workstation Configurations (01/11/2021),OCIO-CEC,OCIO-CEC,01/11/21,01/11/26,
DR3180-001 Information Technology Standards (01/05/2021),OCIO,OCIO-IRMC-EAD,01/05/21,01/05/26,
DR3185-001 Enterprise Architecture (07/29/19),OCIO-IRMC,OCIO-IRMC-EAD,07/29/19,07/29/24,
DR3185-002 Enterprise Architecture IT Asset Definitions (09/22/20),OCIO-IRMC,OCIO-IRMC-EAD,09/22/20,09/22/25,
DR3185-003 Enterprise Architecture IT Asset Data Element Requirements (02/23/21),OCIO-IRMC,OCIO-IRMC-EAD,02/23/21,02/23/26,
DR3300-001 Telecommunications & Internet Services and Use (03/18/16),OCIO-ENS,OCIO-DISC-ENS,03/18/16,,
DR3300-001-A Procuring and Managing Telecommunications Devices and Services (08/25/20),OCIO-DISC-ENS,OCIO-DISC-ENS,08/25/20,08/25/25,
"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date,
DR3300-001-B Telephone Use (07/16/20),OCIO-DISC-ENS,OCIO-DISC-ENS,07/16/20,07/16/25,
DR3300-001-C Radio Frequency Management (09/27/19),OCIO-DISC-ENS,OCIO-DISC-ENS,09/27/19,09/27/24,
DR3300-001-E Video Teleconferencing (03/23/99),OCIO-ENS,OCIO-CEC,03/23/99,,
DR3300-001-G Sharing Of Telecommunications Resources (09/12/19),OCIO-DISC-ENS,OCIO-DISC-ENS,09/12/19,09/12/24,
DR3300-001-I Internet (07/29/19),OCIO-DISC-ENS,OCIO-DISC-ENS,07/29/19,07/29/24,
DR3300-001-J Emergency Communications Programs (03/17/21),OHS,OHS,03/17/21,03/17/26,
DR3300-001-K Installation of Telecommunications Cables in Federal Buildings (11/13/19),OCIO-DISC-ENS,OCIO-DISC-ENS,11/13/19,11/13/24,
DR3300-001-M Internet Protocol (IP) Addresses (03/23/99),OCIO-ENS,OCIO-DISC-ENS,03/23/99,,
DR3300-004 Use of Department -Controlled Mailing Lists for Electronic Distribution of Employee Notices (11/03/06),"ASA, ASCR, and CIO","OASA, OASCR, OCIO",11/03/06,,
DR3300-006 Network Class of Service and Quality of Service (06/01/16),OCIO-ENS,OCIO-DISC-ENS,06/01/16,,
DR3300-015 Secure Communication Systems (07/14/16),OCIO-ASOC,OHS-NSSP,07/14/16,,
DR3300-020 Telecommunications Mission Area Control Officer Roles and Responsibilities (07/12/19),OCIO-DISC-ENS,OCIO-DISC-ENS,07/12/19,07/12/24,
DR3300-025 Secure Domain Name System (03/18/16),OCIO-ENS,OCIO-DISC-ENS,03/18/16,,
DR3300-026 Planning and Managing Wireless Technologies (01/23/20),OCIO-DISC-ENS,OCIO-DISC-ENS,01/23/20,01/23/25,
DR3410-001 Information Collection Activities-Collection of Information from the Public (01/26/22),OCIO-IRMC,OCIO-IRMC-IMD,01/26/22,01/26/27,
DR3430-001 Web Site Development and Maintenance (05/19/04),OC,OC,05/19/04,,
DR3440-001 USDA Classified National Security Information Program Regulation (06/09/16),OHSEC,OHS-PDSD,06/09/16,,
DR3440-002 Control and Protection of “Sensitive Security Information” (01/30/03),OPPM-Personal and Document Security Division,OHS-PDSD,01/30/03,,
DR3440-003 Controlled Unclassified Information (CUI) Program (09/13/21),OHS,OHS-PDSD-CUI,09/13/21,09/13/26,
DR3441-001 USDA Sensitive Compartmented Information Security Program (01/18/12),OHSEC,OHS,01/18/12,,
DR3445-001 Media Protection (10/30/19),OCIO-ISC,OCIO-ISC,10/30/19,10/30/24,
DR3450-001 Computer Matching Program Involving Personally Identifiable Information (10/29/20),OCIO-Privacy Office,OCIO-ISC-Privacy,10/29/20,10/29/25,
DR3450-002 FOIA Implementing Regulations (02/07/03),"OC-Communications
Coordination and Review Center",OGC-OIA-FOIA,02/07/03,,
DR3460-001 Digital Signage Policy and Procedures within USDA HQ facilities (04/07/21),OCIO-CEC,OCIO-CEC,04/07/21,04/07/26,
DR3465-001 Enterprise Geospatial Data Management (08/05/16),OCIO-EGMO,OCIO-DISC-EAS-EGMO,08/05/16,,
"DR3465-002 Privacy, Civil Rights, and Civil Liberties with Unmanned Aerial Systems (UAS) (10/07/19)",OCIO-EGMO,OCIO-DISC-EAS-EGMO,10/07/19,10/07/24,
DR3505-003 Access Control for Information and Information Systems (07/17/19),OCIO-ISC,OCIO-ISC,07/07/19,07/17/24,
DR3505-005 Cyber Security Incident Management (11/30/18),OCIO-ISC,OCIO-ISC,11/30/18,11/30/23,
DR3515-001 Use of Web Measurement and Customization Technologies (10/21/11),OCIO,OCIO-ISC,10/12/11,,
DR3515-002 Privacy Policy and Compliance for Personally Identifiable Information (PII) (10/30/20),OCIO,OCIO-ISC-Privacy,10/30/20,10/30/25,
DR3520-002 Configuration Management (07/17/19),OCIO-ISC,OCIO-ISC,07/17/19,07/17/24,
DR3530-006 Scanning and Remediation of Configuration and Patch Vulnerabilities (06/05/19),OCIO-ISC,OCIO-ISC,06/05/19,06/05/24,
DR3540-003 Security Assessment and Authorization (08/12/14),OCIO-ASOC,OCIO-ISC,08/12/14,,
DR3545-001 Information Security Awareness and Training Policy (10/22/13),OCIO,OCIO-ISC,10/22/13,,
DR3545-003 Suitability Requirements Permitting Personnel Access to Information Systems (09/16/21),OCIO-ISC,OCIO-ISC,09/16/21,09/16/26,
DR3565-003 Plan of Action and Milestones Policy (09/25/13),OCIO,OCIO-ISC,09/25/13,,
DR3571-001 Information System Contingency Planning and Disaster Recovery Planning (06/01/16),OCIO-ASOC,OCIO-ISC,06/01/16,,
DR3575-002 System and Information Integrity (08/16/18),OCIO-ISC,OCIO-ISC,08/16/18,08/16/23,
DR3580-004 Securing Remote Access to USDA Information Systems and Client Devices (11/30/18),OCIO-ISC,OCIO-ISC,11/30/18,11/30/23,
DR3580-005 Securing Client Devices for International Travel (11/30/18),OCIO-ISC,OCIO-ISC,11/30/18,11/30/23,
DR3600-002 Electronic-Government Program (11/24/20),OCIO-IRMC,OCIO-IRMC-eGOV,11/24/20,11/24/25,
"DR3620-001 USDA AgLearn Services, Courseware and Content (09/09/19)",OCIO & OHRM,"OCIO-DISC-AgLearn &
OHRM",09/09/19,09/09/24,
"DR3640-001 Identity, Credential, and Access Management (06/08/21)",OCIO,OCIO-CEC,06/08/21,06/08/26,
DR3650-001 Cloud Computing 09/30/15),OCIO-NITC,OCIO-DISC,09/30/15,,
DR4020-250-002 Position Management and Vacancy Control (10/18/10),OHRM,OHRM-HRPD,10/18/10,,
DR4020-250-1 USDA Human Capital Accountability System (10/28/13),OHRM,OHRM-SHRPA,10/28/13,,
DR4020-251 Associations of Management Officials and / or Supervisors and Other Organizations (07/27/05),OHRM-PMPD,OHRM,07/27/05,,
