"Directive Number, Directive Name, Publication Date","Masthead OPI
(as of Publication Date)",Current Owner of Record OPI,Publication Date,Expiration Date
DR3650-001 Cloud Computing 09/30/15),OCIO-NITC,OCIO-DISC,9/30/2015,
DR4020-250-002 Position Management and Vacancy Control (10/18/10),OHRM,OHRM-HRPD,10/18/2010,
DR4020-250-1 USDA Human Capital Accountability System (10/28/13),OHRM,OHRM-SHRPA,10/28/2013,
DR4020-251 Associations of Management Officials and / or Supervisors and Other Organizations (07/27/05),OHRM-PMPD,OHRM,7/27/2005,
DR4020-251-01 Welfare and Recreation Organizations (07/27/05),OHRM-PMPD,OHRM-DRWD,7/27/2005,
DR4020-511-001 Position Classification (10/17/2016),OHRM,OHRM-HRPD,10/17/2016,
DR4030-001 Section 508 (09/08/14),OCIO,OCIO-IRMC-Section 508,9/8/2014,
DR4030-330-002 Special Selection Priority Programs (02/27/14),OHRM,OHRM-HRPD,2/27/2014,
DR4030-335-002 Merit Promotion and Internal Placement (07/22/15),OHRM,OHRM-HRPD,7/22/2015,
DR4030-337-002 Category Rating (11/01/10),OHRM,OHRM-HRPD,11/1/2010,
DR4030-337-004 Delegated Examining (03/11/2013),OHRM,OHRM-HRPD,3/11/2013,
DR4040-410 Creating Individual Development Plans (IDP) (02/07/11),OHRM,OHRM-VU,2/7/2011,
DR4040-412-001 Leadership Competency Framework (07/25/14),OHRM,OHRM-VU,7/25/2014,
DR4040-412-002 Training and Development for Supervisors (07/25/14),OHRM,OHRM-VU,7/25/2014,
DR4040-430 Employee Performance and Awards (06/24/20),OHRM,OHRM-HRPD,6/24/2020,6/24/2025
DR4040-430-004 Senior Executive Service (SES) Performance Management (08/26/2015),OHRM,OHRM-ERMD,8/26/2015,
DR4040-534-002 Senior Executive Service Pay and Compensation Policy (09/30/15),OHRM,OHRM-ERMD,9/30/2015,
DR4050-531-002 Pay Administration – Superior Qualifications and Special Needs Pay Setting Authority (05/27/14),OHRM,OHRM-HRPD,5/27/2014,
DR4050-537 Repayment of Student Loans (09/01/04),OHRM,OHRM-HRPD,9/1/2004,
DR4050-550-002 Pay Administration - Compensatory Time Off for Travel (06/20/08),OHRM,OHRM-HRPD,6/20/2008,
